,superkingdom,phylum,class,order,family,genus,species
29385,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,29385.0
106654,2.0,1224.0,1236.0,2887326.0,468.0,469.0,106654.0
1404,2.0,1239.0,91061.0,1385.0,186817.0,2800373.0,1404.0
558,2.0,1224.0,1236.0,91347.0,1903409.0,551.0,558.0
413502,2.0,1224.0,1236.0,91347.0,543.0,413496.0,413502.0
1667,2.0,201174.0,1760.0,85006.0,1268.0,1663.0,1667.0
85698,2.0,1224.0,28216.0,80840.0,506.0,222.0,85698.0
2162,2157.0,28890.0,183925.0,2158.0,2159.0,2160.0,2162.0
35783,2.0,1239.0,91061.0,186826.0,81852.0,1350.0,35783.0
1821,2.0,201174.0,1760.0,85007.0,85025.0,1817.0,1821.0
24,2.0,1224.0,1236.0,135622.0,267890.0,22.0,24.0
548,2.0,1224.0,1236.0,91347.0,543.0,570.0,548.0
82380,2.0,201174.0,1760.0,85006.0,85023.0,33882.0,82380.0
56730,2.0,1224.0,28211.0,356.0,82115.0,379.0,56730.0
55601,2.0,1224.0,1236.0,135623.0,641.0,662.0,55601.0
1462,2.0,1239.0,91061.0,1385.0,186817.0,129337.0,1462.0
1926584,2.0,1224.0,1236.0,135619.0,135620.0,267849.0,1926584.0
215813,2.0,1224.0,28211.0,204455.0,2854170.0,309512.0,215813.0
1914291,2.0,1224.0,1236.0,91347.0,1903410.0,204037.0,1914291.0
1638,2.0,1239.0,91061.0,1385.0,186820.0,1637.0,1638.0
1363,2.0,1239.0,91061.0,186826.0,1300.0,1357.0,1363.0
1406378,2157.0,28890.0,1051663.0,,,,1406378.0
1503040,2.0,1224.0,28211.0,356.0,255475.0,182269.0,1503040.0
472,2.0,1224.0,1236.0,2887326.0,468.0,469.0,472.0
1265478,2.0,1224.0,1236.0,91347.0,543.0,,1265478.0
1461577,2.0,976.0,117743.0,200644.0,2762318.0,1013.0,1461577.0
1449788,2.0,1224.0,28211.0,356.0,82115.0,28105.0,1449788.0
94138,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,94138.0
1510937,2.0,1224.0,1236.0,135622.0,267893.0,,1510937.0
44273,2.0,1239.0,91061.0,186826.0,1300.0,1357.0,44273.0
381,2.0,1224.0,28211.0,356.0,69277.0,68287.0,381.0
1510939,2.0,1224.0,1236.0,135622.0,267893.0,,1510939.0
546,2.0,1224.0,1236.0,91347.0,543.0,544.0,546.0
1913084,2.0,1224.0,1236.0,91347.0,1903410.0,122277.0,1913084.0
1089444,2.0,1224.0,1236.0,91347.0,1903410.0,204037.0,1089444.0
1542666,2.0,1224.0,1236.0,91347.0,543.0,1330545.0,1542666.0
1911,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,1911.0
180282,2.0,1224.0,28216.0,80840.0,80864.0,80865.0,180282.0
1513,2.0,1239.0,186801.0,186802.0,31979.0,1485.0,1513.0
1445,2.0,1239.0,91061.0,1385.0,186817.0,2675234.0,1445.0
1569867,2.0,1224.0,1236.0,72274.0,135621.0,286.0,1569867.0
1309,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1309.0
1348,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1348.0
115547,2157.0,,,,,,115547.0
1283,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,1283.0
36823,2.0,201174.0,1760.0,85007.0,85026.0,2053.0,36823.0
1676276,2.0,1224.0,1236.0,91347.0,543.0,544.0,1676276.0
106262,2.0,200918.0,188708.0,1643947.0,1643949.0,160798.0,106262.0
1006155,2.0,1239.0,91061.0,1385.0,186820.0,1637.0,1006155.0
50421,2.0,1224.0,28216.0,80840.0,80864.0,28065.0,50421.0
